X1	X2	cumul_pluvio
16.55	-1.09	236.7656566
16.9	-1.09	201.8828283
9.2	-0.59	1178.960606
9.55	-0.59	1155.325253
9.9	-0.59	1102.292929
10.25	-0.59	1072.137374
10.6	-0.59	1047.681818
10.95	-0.59	974.7727273
11.3	-0.59	950.0555556
11.65	-0.59	925.6747475
12	-0.59	881.7151515
12.35	-0.59	804.0919192
12.7	-0.59	749.7676768
13.05	-0.59	692.7030303
13.4	-0.59	610.0616162
13.75	-0.59	570.6535354
14.1	-0.59	505.8959596
14.45	-0.59	456.7929293
14.8	-0.59	398.840404
15.15	-0.59	344.6181818
15.5	-0.59	321.3
15.85	-0.59	277.2333333
16.2	-0.59	250.0747475
16.55	-0.59	225.1252525
16.9	-0.59	198.959596
9.2	-0.09	1239.885859
9.55	-0.09	1219.592929
9.9	-0.09	1132.99798
10.25	-0.09	1095.635354
10.6	-0.09	1141.262626
10.95	-0.09	1055.457576
11.3	-0.09	993.9757576
11.65	-0.09	885.4373737
12	-0.09	876.3010101
12.35	-0.09	808.3111111
12.7	-0.09	731.1575758
13.05	-0.09	629.7333333
13.4	-0.09	585.9606061
13.75	-0.09	547.7434343
14.1	-0.09	503.0858586
14.45	-0.09	426.7515152
14.8	-0.09	371.6242424
15.15	-0.09	336.3141414
15.5	-0.09	312.0747475
15.85	-0.09	272.4363636
16.2	-0.09	242.1666667
16.55	-0.09	220.2767677
16.9	-0.09	204.4010101
9.2	0.41	1278.549495
9.55	0.41	1245.794949
9.9	0.41	1120.656566
10.25	0.41	1131.213131
10.6	0.41	1099.511111
10.95	0.41	1071.835354
11.3	0.41	984.9727273
11.65	0.41	906.7757576
12	0.41	889.8707071
12.35	0.41	773.0070707
12.7	0.41	686.0676768
13.05	0.41	632.179798
13.4	0.41	595.5393939
13.75	0.41	539.8363636
14.1	0.41	470.7070707
14.45	0.41	388.4151515
14.8	0.41	363.6272727
15.15	0.41	331.4464646
15.5	0.41	331.6464646
15.85	0.41	304.4363636
16.2	0.41	259.1545455
16.55	0.41	232.8494949
16.9	0.41	212.2656566
9.2	0.91	1393.425253
9.55	0.91	1329.006061
9.9	0.91	1191.274747
10.25	0.91	1135.786869
10.6	0.91	1122.728283
10.95	0.91	1054.419192
11.3	0.91	944.7606061
11.65	0.91	925.4424242
12	0.91	876.0939394
12.35	0.91	794.4272727
12.7	0.91	711.1292929
13.05	0.91	629.9454545
13.4	0.91	570.2868687
13.75	0.91	504.2313131
14.1	0.91	422.5383838
14.45	0.91	358.5313131
14.8	0.91	328.7262626
15.15	0.91	336.1989899
15.5	0.91	311.7858586
15.85	0.91	289.2525253
16.2	0.91	259.0858586
16.55	0.91	240.6424242
16.9	0.91	212.6313131
9.2	1.41	1286.363636
9.55	1.41	1281.292929
9.9	1.41	1203.536364
10.25	1.41	1270.963636
10.6	1.41	1127.767677
10.95	1.41	1050.135354
11.3	1.41	979.7171717
11.65	1.41	921.8141414
12	1.41	860.2262626
12.35	1.41	783.3333333
12.7	1.41	691.9313131
13.05	1.41	631.3151515
13.4	1.41	553.2818182
13.75	1.41	467.7606061
14.1	1.41	435.2757576
14.45	1.41	366.2828283
14.8	1.41	301.2030303
15.15	1.41	269.1343434
15.5	1.41	277.7787879
15.85	1.41	264.2070707
16.2	1.41	258.4929293
16.55	1.41	243.9060606
16.9	1.41	217.2515152
9.2	1.91	1185.679798
9.55	1.91	1217.839394
9.9	1.91	1173.768687
10.25	1.91	1135.383838
10.6	1.91	1131.029293
10.95	1.91	1143.357576
11.3	1.91	1022.90404
11.65	1.91	909.3454545
12	1.91	861.6484848
12.35	1.91	768.7363636
12.7	1.91	703.9313131
13.05	1.91	610.9636364
13.4	1.91	554.2717172
13.75	1.91	464.5111111
14.1	1.91	409.2757576
14.45	1.91	397.489899
14.8	1.91	326.9070707
15.15	1.91	282.7868687
15.5	1.91	279.6676768
15.85	1.91	269.1161616
16.2	1.91	264.6090909
16.55	1.91	239.2020202
16.9	1.91	215.3080808
9.2	2.41	1184.244444
9.55	2.41	1168.848485
9.9	2.41	1099.50101
10.25	2.41	1115.911111
10.6	2.41	1167.742424
10.95	2.41	1128.075758
11.3	2.41	1065.627273
11.65	2.41	901.969697
12	2.41	822.7888889
12.35	2.41	760.5929293
12.7	2.41	706.4818182
13.05	2.41	629.5757576
13.4	2.41	563.2525253
13.75	2.41	481.1191919
14.1	2.41	443.779798
14.45	2.41	425.9181818
14.8	2.41	365.9292929
15.15	2.41	338.659596
15.5	2.41	306.8454545
15.85	2.41	283.5545455
16.2	2.41	258.3424242
16.55	2.41	238.0565657
16.9	2.41	217.1464646
9.2	2.91	1166.967677
9.55	2.91	1168.333333
9.9	2.91	1125.885859
10.25	2.91	1160.145455
10.6	2.91	1161.245455
10.95	2.91	1138.557576
11.3	2.91	1036.107071
11.65	2.91	930.6939394
12	2.91	812.6131313
12.35	2.91	713.8707071
12.7	2.91	659.0818182
13.05	2.91	609.4767677
13.4	2.91	545.3121212
13.75	2.91	460.120202
14.1	2.91	435.8989899
14.45	2.91	447.2535354
14.8	2.91	371.6787879
15.15	2.91	332.6121212
15.5	2.91	298.8171717
15.85	2.91	274.4131313
16.2	2.91	255.7878788
16.55	2.91	238.5555556
16.9	2.91	215.1787879
